时间戳,预测期号,目标期号,模型,百位,十位,个位,百位Top3,十位Top3,个位Top3,和值Top3,最佳两位,实际开奖,命中数,策略信号,销量异常,大热惩罚,反奖率,单选占比,奖池水位,贪婪模式
2026-08-20 10:49:52,2026215,2026216,ensemble,4,1,7,"4,0,8","1,0,2","7,0,8","13,12,14",十位 + 个位:1+7,"9,3,5",0,Normal,否,否,0.2845,0.0005,,
2026-08-20 10:52:33,2026216,2026217,ensemble,4,9,7,"4,5,0","9,2,8","7,2,6","14,15,13",百位 + 个位:4+7,"8,8,2",0,Normal,否,否,0.3120,0.0005,,
2026-08-20 10:54:42,2026217,2026218,ensemble,7,2,7,"7,9,1","2,8,1","7,0,8","16,17,15",十位 + 个位:2+7,"3,8,2",0,Normal,否,否,0.2910,0.0005,,
2026-08-20 10:56:55,2026218,2026219,ensemble,4,2,7,"4,5,8","2,8,1","7,0,8","15,14,16",十位 + 个位:2+7,"2,2,5",1,Normal,否,否,0.2750,0.0005,,
2026-08-20 11:00:05,2026219,2026220,ensemble,5,6,7,"5,6,7","6,0,9","7,2,6","13,12,14",十位 + 个位:6+7,"3,7,3",0,Cold_Reversion,是,否,0.1950,0.0004,,
2026-08-20 11:02:03,2026220,2026221,ensemble,5,1,7,"5,4,8","1,0,5","7,6,2","13,14,12",十位 + 个位:1+7,"2,9,6",0,Normal,否,否,0.2680,0.0005,,
2026-08-20 11:03:55,2026221,2026222,ensemble,5,2,0,"5,6,7","2,7,6","0,7,2","14,13,15",十位 + 个位:2+0,"3,8,0",1,Normal,否,否,0.2890,0.0005,,
2026-08-21 09:19:56,2026222,2026223,ensemble,4,2,7,"4,5,2","2,8,1","7,4,6","13,14,12",十位 + 个位:2+7,"9,4,8",0,Normal,否,否,0.3050,0.0005,,
2026-08-24 09:15:45,2026223,2026224,ensemble,4,1,7,"4,0,5","1,0,9","7,2,1","16,17,15",百位 + 个位:4+7,"8,6,2",0,Hot_Penalty,是,是,0.3850,0.0006,,
2026-08-24 09:19:22,2026224,2026225,ensemble,7,4,7,"7,9,4","4,2,9","7,5,8","16,15,17",百位 + 个位:7+7,"5,5,5",0,Hot_Penalty,是,是,0.3620,0.0006,,
2026-08-24 09:21:39,2026225,2026226,ensemble,6,1,7,"6,4,7","1,9,3","7,2,9","15,16,14",十位 + 个位:1+7,"8,5,1",0,Hot_Penalty,是,否,0.3480,0.0006,,
2026-08-24 22:47:13,2026226,2026227,ensemble,7,1,7,"7,9,4","1,9,3","7,0,4","15,14,16",十位 + 个位:1+7,"5,2,2",0,Normal,否,否,0.2920,0.0005,,
2026-08-25 23:00:31,2026227,2026228,ensemble,6,0,7,"6,4,8","0,6,1","7,5,4","13,14,12",百位 + 个位:6+7,"3,9,9",0,Normal,否,否,0.2780,0.0005,,
2026-08-26 22:22:15,2026228,2026229,ensemble,4,2,7,"4,5,2","2,7,1","7,6,5","16,15,17",十位 + 个位:2+7,"8,2,8",1,Normal,否,否,0.2650,0.0005,,
2026-08-28 07:08:53,2026229,2026230,ensemble,7,0,7,"7,9,4","0,6,1","7,2,1","16,15,17",十位 + 个位:0+7,"0,6,6",1,Normal,否,否,0.2582,0.0005,,
2026-08-29 08:15:22,2026230,2026231,ensemble,5,8,2,"5,4,9","8,2,6","2,1,7","15,14,16",百位 + 个位:5+2,"7,3,3",0,Normal,否,否,0.2850,0.0005,,
2026-08-30 09:30:45,2026231,2026232,ensemble,4,9,1,"4,2,8","9,5,1","9,0,4","13,12,14",百位 + 个位:4+9,"6,5,8",1,Hot_Penalty,否,是,0.3231,0.0006,,
2026-08-30 14:20:10,2026232,2026233,ensemble,2,1,3,"2,9,4","1,7,0","3,8,5","12,16,10",百位 + 个位:2+3,"9,7,0",2,Hot_Penalty,否,是,0.3705,0.0006,,
2026-08-31 10:05:33,2026233,2026234,ensemble,1,2,5,"1,5,8","2,4,6","5,3,1","10,14,8",百位 + 个位:1+5,"6,9,5",1,Extreme_Hot,是,是,0.3613,0.0007,,
2026-09-01 11:45:18,2026234,2026235,ensemble,2,3,1,"2,4,1","3,0,5","1,4,8","6,9,7",百位 + 个位:2+1,"2,1,9",1,Extreme_Cold,是,是,0.4552,0.0009,,
2026-09-02 12:30:22,2026235,2026236,ensemble,3,2,0,"3,0,4","2,5,8","0,3,6","5,8,11",百位 + 个位:3+0,"0,4,7",1,Extreme_Crash,是,是,0.5663,0.0011,,
2026-09-03 13:15:45,2026236,2026237,ensemble,5,4,5,"5,3,8","4,6,2","5,8,3","14,12,17",百位 + 个位:5+5,"8,5,4",1,Post_Crash_Recovery,是,是,0.5918,0.0011,,
2026-09-04 14:20:10,2026237,2026238,ensemble,1,2,0,"1,0,3","2,3,0","0,1,4","3,6,4",百位 + 个位:1+0,"8,9,9",0,Super_Crash_Cold,是,是,0.7323,0.0014,,
2026-09-05 15:10:33,2026238,2026239,ensemble,4,5,3,"4,6,3","5,2,7","3,6,1","12,13,14",百位 + 个位:4+3,"0,0,2",0,Order_Restoration,否,否,0.2618,0.0005,,
2026-09-06 16:05:12,2026239,2026240,ensemble,5,6,4,"5,4,7","6,3,8","4,7,2","15,13,17",百位 + 个位:5+4,"9,8,1",1,Double_Triple_Reset,否,否,0.1504,0.0003,,
2026-09-07 17:30:45,2026240,2026241,ensemble,4,5,3,"4,5,3","5,6,2","3,6,1","12,13,14",百位 + 个位:4+3,"0,0,2",0,Central_Convergence,否,否,0.5348,0.0010,,
2026-09-08 18:15:22,2026241,2026242,ensemble,7,8,6,"7,6,5","8,5,9","6,4,3","21,19,18",百位 + 个位:7+6,"5,5,5",2,Historical_Bottom_Rebound,是,否,0.0879,0.0002,,
2026-09-09 19:45:10,2026242,2026243,ensemble,1,2,3,"1,0,8","2,9,0","3,7,1","6,10,18",百位 + 个位:1+3,"2,1,9",0,Jackpot_Defense,是,是,0.9889,0.0019,,
2026-09-10 20:30:15,2026243,2026244,ensemble,2,1,8,"2,1,5","1,2,6","8,4,0","11,12,8",百位 + 个位:2+8,"6,5,4",1,Neighbor_Rebound,否,否,0.3943,0.0008,,
2026-09-11 21:15:30,2026244,2026245,ensemble,9,0,2,"9,1,8","0,3,7","2,9,5","11,14,16",百位 + 个位:9+2,"5,4,9",1,Chaos_To_Order,否,否,0.4896,0.0009,,
2026-09-12 22:00:45,2026245,2026246,ensemble,3,2,6,"3,4,1","2,5,0","6,3,8","11,12,9",百位 + 个位:3+6,"9,8,2",0,Rational_Balance,否,否,0.3227,0.0006,,
2026-09-13 22:45:10,2026246,2026247,ensemble,4,5,3,"4,3,6","5,1,4","3,6,0","12,10,13",百位 + 个位:4+3,"6,0,9",0,Double_Link_Break,是,是,0.5693,0.0011,,
2026-09-14 23:30:15,2026247,2026248,ensemble,5,3,4,"5,4,7","3,5,2","4,6,5","12,13,14",百位 + 十位:5+4,"8,7,6",1,Span_Contraction,否,否,0.4913,0.0009,710315.56,
2026-09-15 23:59:50,2026248,2026249,ensemble,1,2,3,"1,0,3","2,1,4","3,2,0","6,5,3",百位 + 个位:1+3,"6,8,9",0,Triple_Clear_Crash,是,是,0.4913,0.0009,0.0,False
2026-09-16 01:15:30,2026249,2026250,greed_momentum,9,8,9,"9,8,7","8,9,6","9,8,5","26,23,25",百位 + 个位:9+9,"9,5,4",1,Quadruple_Clear_Momentum,是,是,0.9400,0.0018,0.0,True
2026-09-17 02:30:45,2026250,2026251,prize_pool,6,5,7,"6,5,8","5,4,7","7,6,3","18,17,15",百位 + 个位:6+7,"7,7,7",2,Pool_Five_Clear_Momentum,是,是,0.7285,0.0014,0.0,True
2026-09-18 03:45:20,2026251,2026252,prize_pool,5,4,6,"5,6,4","4,5,3","6,8,4","15,13,17",百位 + 个位:5+6,"0,9,2",0,Post_Leopard_Cooling,否,否,0.8692,0.0017,0.0,True
2026-09-19 04:30:15,2026252,2026253,ensemble,3,5,4,"3,4,0","5,2,6","4,7,9","12,13,14",百位 + 个位:3+4,"0,3,4",2,Chaos_Reversion,否,否,0.3413,0.0007,1157342.16,False
2026-09-20 05:15:40,2026253,2026254,greed_momentum,8,9,6,"8,9,7","9,8,6","6,9,5","23,21,24",百位 + 十位:8+9,"8,5,0",1,Cap_Flood_Momentum,是,否,0.2843,0.0005,2000000.0,True
2026-09-21 06:00:25,2026254,2026255,greed_momentum,9,8,7,"9,8,7","8,9,7","7,6,8","24,23,22",百位 + 十位:9+8,"6,9,9",1,Triple_Cap_Flood,是,否,0.3089,0.0006,2000000.0,True
2026-09-22 06:45:10,2026255,2026256,greed_momentum,7,8,9,"7,8,9","8,9,7","9,8,6","24,23,21",百位 + 十位:7+8,"0,5,1",0,Quad_Cap_Breakthrough,是,否,0.3089,0.0006,2000000.0,True
2026-09-23 07:30:15,2026256,2026257,ensemble,4,5,6,"4,0,6","5,3,8","6,9,2","13,14,15",百位 + 个位:4+6,"4,8,6",3,Defensive Chaos Fix,否,否,0.1265,0.0002,2000000.0,False
